id_problema,categoria,subcategoria,descripcion,solucion,requiere_escalado
001,Red,WiFi,No puede conectarse a la red WiFi,"1. Verificar que el WiFi esté activado en el dispositivo. 2. Reiniciar el router desenchufándolo 30 segundos. 3. Olvidar la red y reconectarse ingresando la contraseña nuevamente. 4. Si persiste, reiniciar el dispositivo.",No
002,Red,VPN,No puede conectarse a la VPN corporativa,"1. Verificar que tiene instalado el cliente VPN actualizado. 2. Confirmar usuario y contraseña con RRHH. 3. Verificar que el firewall personal no bloquea el puerto 1194. 4. Reintentar la conexión.",No
003,Red,Internet,No tiene acceso a Internet,"1. Verificar que el cable de red esté bien conectado o el WiFi activo. 2. Hacer ping a 8.8.8.8 desde CMD. 3. Reiniciar el adaptador de red desde Panel de Control. 4. Si no hay Internet en toda la oficina, escalar a técnico.",Si
004,Hardware,Pantalla,Monitor no enciende o sin imagen,"1. Verificar que el monitor esté enchufado y el cable HDMI/VGA bien conectado. 2. Probar con otro cable. 3. Verificar que la PC esté encendida (led indicador). 4. Si el monitor no tiene imagen con otra PC, requiere reemplazo.",Si
005,Hardware,Teclado,Teclado no funciona o teclas trabadas,"1. Desconectar y volver a conectar el teclado. 2. Probar en otro puerto USB. 3. Verificar en Administrador de dispositivos si aparece con error. 4. Limpiar con aire comprimido si hay teclas físicamente trabadas.",No
006,Hardware,PC,La PC no enciende,"1. Verificar que el cable de alimentación esté conectado. 2. Verificar que el tomacorriente funciona con otro dispositivo. 3. Presionar el botón de encendido por 10 segundos. 4. Si no responde, requiere revisión de hardware.",Si
007,Software,Windows,Pantalla azul (BSOD),"1. Anotar el código de error que aparece en pantalla (ej: IRQL_NOT_LESS_OR_EQUAL). 2. Reiniciar el equipo. 3. Si se repite, iniciar en Modo Seguro. 4. Ejecutar sfc /scannow desde CMD como administrador. 5. Si persiste, escalar a técnico.",Si
008,Software,Impresora,La impresora no imprime,"1. Verificar que la impresora esté encendida y conectada. 2. Revisar la cola de impresión y cancelar trabajos atascados. 3. Reiniciar el servicio de spooler: CMD > net stop spooler > net start spooler. 4. Reinstalar el driver si persiste.",No
009,Software,Office,Microsoft Office no abre o da error de licencia,"1. Cerrar completamente todas las aplicaciones Office. 2. Ir a Panel de Control > Programas > Reparar Office. 3. Verificar que la cuenta tiene licencia activa en portal.office.com. 4. Si el error persiste, desinstalar y reinstalar.",No
010,Software,Correo,No puede enviar ni recibir correos en Outlook,"1. Verificar conexión a Internet. 2. Revisar que Outlook no esté en modo sin conexión (pestaña Enviar y Recibir). 3. Eliminar y volver a agregar la cuenta de correo. 4. Si es fallo de servidor, escalar.",Si
